Roles,Games,# Players,# Minions,% Evil Win,STD-ERROR,ConInt95,Avg Days,Avg Days|Evil Win,Avg Days|Good Win;Roles;Games;# Players;# Minions;% Evil Win;STD-ERROR;ConInt95;Avg Days;Avg Days|Evil Win;Avg Days|Good Win
;"Demon;Assassin;Godfather;Saint;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.4392;0.00496;(0.42947, 0.44893);3.7522;4.41189;3.23556
;"Demon;Assassin;Saint;Klutz;PoppyGrower;Good;Good;Good;Good";10000;9;1;0.3276;0.00469;(0.3184, 0.3368);3.1336;3.79701;2.81038
;"Demon;Assassin;Godfather;Saint;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.3657;0.00482;(0.35626, 0.37514);3.9334;4.84031;3.41053
;"Demon;Assassin;Godfather;Boomdandy;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.4882;0.005;(0.4784, 0.498);3.2085;3.56206;2.87124
;"Demon;Assassin;Godfather;Boomdandy;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4859;0.005;(0.4761, 0.4957);3.3766;3.70817;3.06322
;"Demon;Assassin;Godfather;Boomdandy;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.3895;0.00488;(0.37994, 0.39906);3.5889;3.92657;3.37346
;"Demon;Assassin;Godfather;Boomdandy;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3989;0.0049;(0.3893, 0.4085);3.757;4.17097;3.48228
;"Demon;Assassin;Godfather;Boomdandy;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4668;0.00499;(0.45702, 0.47658);3.4807;3.85326;3.15454
;"Demon;Assassin;Godfather;Boomdandy;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3933;0.00488;(0.38373, 0.40287);3.8217;4.22629;3.55942
;"Demon;Assassin;Godfather;Boomdandy;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4668;0.00499;(0.45702, 0.47658);3.4807;3.85326;3.15454
;"Demon;Assassin;Godfather;Boomdandy;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3933;0.00488;(0.38373, 0.40287);3.8217;4.22629;3.55942
;"Demon;Assassin;Godfather;Goblin;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.6198;0.00485;(0.61029, 0.62931);3.2295;3.42465;2.91136
;"Demon;Assassin;Godfather;Goblin;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.6223;0.00485;(0.6128, 0.6318);3.3743;3.58348;3.02965
;"Demon;Assassin;Godfather;Goblin;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.4825;0.005;(0.47271, 0.49229);3.5941;3.68104;3.51304
;"Demon;Assassin;Godfather;Goblin;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4995;0.005;(0.4897, 0.5093);3.7751;3.8965;3.65395
;"Demon;Assassin;Godfather;Goblin;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.6085;0.00488;(0.59893, 0.61807);3.4717;3.6871;3.13691
;"Demon;Assassin;Godfather;Goblin;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4987;0.005;(0.4889, 0.5085);3.813;3.93563;3.691
;"Demon;Assassin;Godfather;Goblin;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.6085;0.00488;(0.59893, 0.61807);3.4717;3.6871;3.13691
;"Demon;Assassin;Godfather;Goblin;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4987;0.005;(0.4889, 0.5085);3.813;3.93563;3.691
;"Demon;Assassin;Godfather;Witch;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.4881;0.005;(0.4783, 0.4979);3.8495;4.42737;3.2985
;"Demon;Assassin;Godfather;Witch;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4839;0.005;(0.47411, 0.49369);4.0383;4.64931;3.46541
;"Demon;Assassin;Godfather;Witch;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.324;0.00468;(0.31483, 0.33317);4.2377;5.19167;3.78047
;"Demon;Assassin;Godfather;Witch;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.356;0.00479;(0.34662, 0.36538);4.4542;5.48258;3.88571
;"Demon;Assassin;Godfather;Witch;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4633;0.00499;(0.45353, 0.47307);4.1959;4.91172;3.57798
;"Demon;Assassin;Godfather;Witch;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3442;0.00475;(0.33489, 0.35351);4.5268;5.67228;3.92559
;"Demon;Assassin;Godfather;Witch;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4633;0.00499;(0.45353, 0.47307);4.1959;4.91172;3.57798
;"Demon;Assassin;Godfather;Witch;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3442;0.00475;(0.33489, 0.35351);4.5268;5.67228;3.92559
;"Demon;Assassin;DA;Good;Good;Good;Good;Good;Good;Good";10000;10;2;0.5995;0.0049;(0.5899, 0.6091);3.411;3.8035;2.82347
;"Demon;Assassin;DA;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.5745;0.00494;(0.56481, 0.58419);3.8596;4.33003;3.22444
;"Demon;Assassin;DA;Outsider;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.5323;0.00499;(0.52252, 0.54208);4.2971;4.87319;3.64144
;"Demon;Assassin;DA;Boomdandy;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.5471;0.00498;(0.53734, 0.55686);3.5614;3.89179;3.16229
;"Demon;Assassin;DA;Boomdandy;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5422;0.00498;(0.53243, 0.55197);3.9021;4.25286;3.48668
;"Demon;Assassin;DA;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;10;2;0.3944;0.00489;(0.38482, 0.40398);3.3106;4.02307;2.8466
;"Demon;Assassin;DA;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.3026;0.00459;(0.2936, 0.3116);3.7757;4.68308;3.38199
;"Demon;Assassin;DA;Outsider;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.3603;0.0048;(0.35089, 0.36971);4.0364;5.01915;3.48288
;"Demon;Assassin;DA;Boomdandy;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.3767;0.00485;(0.3672, 0.3862);3.6705;4.02575;3.4558
;"Demon;Assassin;DA;Boomdandy;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3894;0.00488;(0.37984, 0.39896);3.8897;4.35311;3.59417
;"Demon;Assassin;DA;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.5745;0.00494;(0.56481, 0.58419);3.8596;4.33003;3.22444
;"Demon;Assassin;DA;Klutz;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.5323;0.00499;(0.52252, 0.54208);4.2971;4.87319;3.64144
;"Demon;Assassin;DA;Boomdandy;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5422;0.00498;(0.53243, 0.55197);3.9021;4.25286;3.48668
;"Demon;Assassin;DA;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.3026;0.00459;(0.2936, 0.3116);3.7757;4.68308;3.38199
;"Demon;Assassin;DA;Klutz;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.3603;0.0048;(0.35089, 0.36971);4.0364;5.01915;3.48288
;"Demon;Assassin;DA;Boomdandy;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3894;0.00488;(0.37984, 0.39896);3.8897;4.35311;3.59417
;"Demon;Assassin;DA;Saint;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.5745;0.00494;(0.56481, 0.58419);3.8596;4.33003;3.22444
;"Demon;Assassin;DA;Saint;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.5323;0.00499;(0.52252, 0.54208);4.2971;4.87319;3.64144
;"Demon;Assassin;DA;Boomdandy;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5422;0.00498;(0.53243, 0.55197);3.9021;4.25286;3.48668
;"Demon;Assassin;DA;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.3026;0.00459;(0.2936, 0.3116);3.7757;4.68308;3.38199
;"Demon;Assassin;DA;Saint;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.3603;0.0048;(0.35089, 0.36971);4.0364;5.01915;3.48288
;"Demon;Assassin;DA;Boomdandy;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3894;0.00488;(0.37984, 0.39896);3.8897;4.35311;3.59417
;"Demon;Assassin;DA;Saint;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.5323;0.00499;(0.52252, 0.54208);4.2971;4.87319;3.64144
;"Demon;Assassin;DA;Saint;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.3603;0.0048;(0.35089, 0.36971);4.0364;5.01915;3.48288
;"Demon;Assassin;DA;Goblin;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.6953;0.0046;(0.68628, 0.70432);3.5744;3.73968;3.19724
;"Demon;Assassin;DA;Goblin;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.6943;0.00461;(0.68527, 0.70333);3.8722;4.06683;3.43016
;"Demon;Assassin;DA;Goblin;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.4727;0.00499;(0.46291, 0.48249);3.6774;3.73154;3.62886
;"Demon;Assassin;DA;Goblin;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4963;0.005;(0.4865, 0.5061);3.9172;4.11082;3.72642
;"Demon;Assassin;DA;Goblin;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.6943;0.00461;(0.68527, 0.70333);3.8722;4.06683;3.43016
;"Demon;Assassin;DA;Goblin;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4963;0.005;(0.4865, 0.5061);3.9172;4.11082;3.72642
;"Demon;Assassin;DA;Goblin;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.6943;0.00461;(0.68527, 0.70333);3.8722;4.06683;3.43016
;"Demon;Assassin;DA;Goblin;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4963;0.005;(0.4865, 0.5061);3.9172;4.11082;3.72642
;"Demon;Assassin;DA;Witch;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.5839;0.00493;(0.57424, 0.59356);4.3701;4.84586;3.70248
;"Demon;Assassin;DA;Witch;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5704;0.00495;(0.5607, 0.5801);4.7777;5.39779;3.95438
;"Demon;Assassin;DA;Witch;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.3152;0.00465;(0.30609, 0.32431);4.3608;5.41561;3.87529
;"Demon;Assassin;DA;Witch;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.338;0.00473;(0.32873, 0.34727);4.6184;5.86036;3.98429
;"Demon;Assassin;DA;Witch;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5704;0.00495;(0.5607, 0.5801);4.7777;5.39779;3.95438
;"Demon;Assassin;DA;Witch;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.338;0.00473;(0.32873, 0.34727);4.6184;5.86036;3.98429
;"Demon;Assassin;DA;Witch;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5704;0.00495;(0.5607, 0.5801);4.7777;5.39779;3.95438
;"Demon;Assassin;DA;Witch;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.338;0.00473;(0.32873, 0.34727);4.6184;5.86036;3.98429
;"Demon;Assassin;Boomdandy;Good;Good;Good;Good;Good;Good;Good";10000;10;2;0.4842;0.005;(0.4744, 0.494);2.5678;2.79575;2.35382
;"Demon;Assassin;Boomdandy;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.4564;0.00498;(0.44664, 0.46616);2.8794;3.19084;2.61792
;"Demon;Assassin;Boomdandy;Outsider;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.4415;0.00497;(0.43177, 0.45123);3.1269;3.43692;2.88183
;"Demon;Assassin;Boomdandy;Goblin;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.6033;0.00489;(0.59371, 0.61289);2.7512;2.84005;2.61608
;"Demon;Assassin;Boomdandy;Goblin;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5887;0.00492;(0.57906, 0.59834);2.9448;3.07967;2.75176
;"Demon;Assassin;Boomdandy;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;10;2;0.4332;0.00496;(0.42349, 0.44291);2.8184;3.14174;2.57128
;"Demon;Assassin;Boomdandy;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.3781;0.00485;(0.3686, 0.3876);3.1456;3.43666;2.96864
;"Demon;Assassin;Boomdandy;Outsider;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.4007;0.0049;(0.3911, 0.4103);3.3889;3.77514;3.13065
;"Demon;Assassin;Boomdandy;Goblin;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.5138;0.005;(0.504, 0.5236);3.0802;3.04476;3.11765
;"Demon;Assassin;Boomdandy;Goblin;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5317;0.00499;(0.52192, 0.54148);3.2718;3.2855;3.25625
;"Demon;Assassin;Boomdandy;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.4564;0.00498;(0.44664, 0.46616);2.8794;3.19084;2.61792
;"Demon;Assassin;Boomdandy;Klutz;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.4415;0.00497;(0.43177, 0.45123);3.1269;3.43692;2.88183
;"Demon;Assassin;Boomdandy;Goblin;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5887;0.00492;(0.57906, 0.59834);2.9448;3.07967;2.75176
;"Demon;Assassin;Boomdandy;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.3781;0.00485;(0.3686, 0.3876);3.1456;3.43666;2.96864
;"Demon;Assassin;Boomdandy;Klutz;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.4007;0.0049;(0.3911, 0.4103);3.3889;3.77514;3.13065
;"Demon;Assassin;Boomdandy;Goblin;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5317;0.00499;(0.52192, 0.54148);3.2718;3.2855;3.25625
;"Demon;Assassin;Boomdandy;Saint;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.4564;0.00498;(0.44664, 0.46616);2.8794;3.19084;2.61792
;"Demon;Assassin;Boomdandy;Saint;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.4415;0.00497;(0.43177, 0.45123);3.1269;3.43692;2.88183
;"Demon;Assassin;Boomdandy;Goblin;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5887;0.00492;(0.57906, 0.59834);2.9448;3.07967;2.75176
;"Demon;Assassin;Boomdandy;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.3781;0.00485;(0.3686, 0.3876);3.1456;3.43666;2.96864
;"Demon;Assassin;Boomdandy;Saint;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.4007;0.0049;(0.3911, 0.4103);3.3889;3.77514;3.13065
;"Demon;Assassin;Boomdandy;Goblin;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5317;0.00499;(0.52192, 0.54148);3.2718;3.2855;3.25625
;"Demon;Assassin;Boomdandy;Saint;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.4415;0.00497;(0.43177, 0.45123);3.1269;3.43692;2.88183
;"Demon;Assassin;Boomdandy;Saint;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.4007;0.0049;(0.3911, 0.4103);3.3889;3.77514;3.13065
;"Demon;Assassin;Boomdandy;Witch;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.467;0.00499;(0.45722, 0.47678);3.2568;3.61478;2.94315
;"Demon;Assassin;Boomdandy;Witch;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4573;0.00498;(0.44754, 0.46706);3.5217;3.90619;3.19772
;"Demon;Assassin;Boomdandy;Witch;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.3803;0.00485;(0.37078, 0.38982);3.6197;3.98606;3.39487
;"Demon;Assassin;Boomdandy;Witch;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.39;0.00488;(0.38044, 0.39956);3.8571;4.33333;3.55262
;"Demon;Assassin;Boomdandy;Witch;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4573;0.00498;(0.44754, 0.46706);3.5217;3.90619;3.19772
;"Demon;Assassin;Boomdandy;Witch;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.39;0.00488;(0.38044, 0.39956);3.8571;4.33333;3.55262
;"Demon;Assassin;Boomdandy;Witch;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4573;0.00498;(0.44754, 0.46706);3.5217;3.90619;3.19772
;"Demon;Assassin;Boomdandy;Witch;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.39;0.00488;(0.38044, 0.39956);3.8571;4.33333;3.55262
;"Demon;Assassin;Goblin;Good;Good;Good;Good;Good;Good;Good";10000;10;2;0.6108;0.00488;(0.60124, 0.62036);2.5758;2.71251;2.36125
;"Demon;Assassin;Goblin;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.5968;0.00491;(0.58719, 0.60641);2.8958;3.07691;2.62773
;"Demon;Assassin;Goblin;Outsider;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.5817;0.00493;(0.57203, 0.59137);3.1404;3.317;2.89481
;"Demon;Assassin;Goblin;Witch;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.6037;0.00489;(0.59411, 0.61329);3.2361;3.45652;2.90033
;"Demon;Assassin;Goblin;Witch;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5909;0.00492;(0.58126, 0.60054);3.5372;3.75393;3.22415
;"Demon;Assassin;Goblin;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;10;2;0.5325;0.00499;(0.52272, 0.54228);2.8266;2.96958;2.66374
;"Demon;Assassin;Goblin;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.478;0.005;(0.46821, 0.48779);3.1594;3.20397;3.11858
;"Demon;Assassin;Goblin;Outsider;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.5033;0.005;(0.4935, 0.5131);3.3875;3.54838;3.22448
;"Demon;Assassin;Goblin;Witch;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.4871;0.005;(0.4773, 0.4969);3.609;3.69534;3.527
;"Demon;Assassin;Goblin;Witch;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5012;0.005;(0.4914, 0.511);3.8291;3.98883;3.6686
;"Demon;Assassin;Goblin;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.5968;0.00491;(0.58719, 0.60641);2.8958;3.07691;2.62773
;"Demon;Assassin;Goblin;Klutz;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.5817;0.00493;(0.57203, 0.59137);3.1404;3.317;2.89481
;"Demon;Assassin;Goblin;Witch;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5909;0.00492;(0.58126, 0.60054);3.5372;3.75393;3.22415
;"Demon;Assassin;Goblin;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.478;0.005;(0.46821, 0.48779);3.1594;3.20397;3.11858
;"Demon;Assassin;Goblin;Klutz;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.5033;0.005;(0.4935, 0.5131);3.3875;3.54838;3.22448
;"Demon;Assassin;Goblin;Witch;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5012;0.005;(0.4914, 0.511);3.8291;3.98883;3.6686
;"Demon;Assassin;Goblin;Saint;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.5968;0.00491;(0.58719, 0.60641);2.8958;3.07691;2.62773
;"Demon;Assassin;Goblin;Saint;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.5817;0.00493;(0.57203, 0.59137);3.1404;3.317;2.89481
;"Demon;Assassin;Goblin;Witch;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5909;0.00492;(0.58126, 0.60054);3.5372;3.75393;3.22415
;"Demon;Assassin;Goblin;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.478;0.005;(0.46821, 0.48779);3.1594;3.20397;3.11858
;"Demon;Assassin;Goblin;Saint;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.5033;0.005;(0.4935, 0.5131);3.3875;3.54838;3.22448
;"Demon;Assassin;Goblin;Witch;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5012;0.005;(0.4914, 0.511);3.8291;3.98883;3.6686
;"Demon;Assassin;Goblin;Saint;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.5817;0.00493;(0.57203, 0.59137);3.1404;3.317;2.89481
;"Demon;Assassin;Goblin;Saint;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.5033;0.005;(0.4935, 0.5131);3.3875;3.54838;3.22448
;"Demon;Godfather;Good;Good;Good;Good;Good";10000;7;1;0.4988;0.005;(0.489, 0.5086);2.3903;2.68484;2.09717
;"Demon;Godfather;Outsider;Good;Good;Good;Good;Good";10000;8;1;0.4623;0.00499;(0.45253, 0.47207);2.6334;2.88233;2.41938
;"Demon;Godfather;Outsider;Outsider;Good;Good;Good;Good;Good";10000;9;1;0.4557;0.00498;(0.44594, 0.46546);2.9155;3.37261;2.53279
;"Demon;Godfather;DA;Good;Good;Good;Good;Good;Good;Good";10000;10;2;0.5796;0.00494;(0.56992, 0.58928);3.5939;3.96256;3.08563
;"Demon;Godfather;DA;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.5947;0.00491;(0.58508, 0.60432);3.7707;4.13721;3.23291
;"Demon;Godfather;DA;Outsider;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.5947;0.00491;(0.58508, 0.60432);4.0188;4.3775;3.49247
;"Demon;Godfather;DA;Boomdandy;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.5657;0.00496;(0.55598, 0.57542);3.6326;3.95828;3.20838
;"Demon;Godfather;DA;Boomdandy;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5757;0.00494;(0.56601, 0.58539);3.806;4.1539;3.33396
;"Demon;Godfather;PoppyGrower;Good;Good;Good;Good";10000;7;1;0.4507;0.00498;(0.44095, 0.46045);2.4663;2.85844;2.14455
;"Demon;Godfather;Outsider;PoppyGrower;Good;Good;Good;Good";10000;8;1;0.3839;0.00486;(0.37437, 0.39343);2.8256;3.2459;2.56371
;"Demon;Godfather;Outsider;Outsider;PoppyGrower;Good;Good;Good;Good";10000;9;1;0.4077;0.00491;(0.39807, 0.41733);3.058;3.61908;2.67179
;"Demon;Godfather;DA;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;10;2;0.3258;0.00469;(0.31661, 0.33499);3.5912;4.32351;3.23732
;"Demon;Godfather;DA;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.3692;0.00483;(0.35974, 0.37866);3.7548;4.59615;3.26237
;"Demon;Godfather;DA;Outsider;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.332;0.00471;(0.32277, 0.34123);4.0851;4.95723;3.65165
;"Demon;Godfather;DA;Boomdandy;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.4039;0.00491;(0.39428, 0.41352);3.7277;4.15598;3.43751
;"Demon;Godfather;DA;Boomdandy;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3857;0.00487;(0.37616, 0.39524);3.9347;4.25745;3.73205
;"Demon;Godfather;Klutz;Good;Good;Good;Good;Good";10000;8;1;0.4227;0.00494;(0.41302, 0.43238);2.764;3.1119;2.50927
;"Demon;Godfather;Klutz;Outsider;Good;Good;Good;Good;Good";10000;9;1;0.4493;0.00497;(0.43955, 0.45905);2.9799;3.48275;2.56964
;"Demon;Godfather;DA;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.5683;0.00495;(0.55859, 0.57801);3.9758;4.4195;3.39171
;"Demon;Godfather;DA;Klutz;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.5601;0.00496;(0.55037, 0.56983);4.1595;4.58186;3.62173
;"Demon;Godfather;DA;Boomdandy;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5565;0.00497;(0.54676, 0.56624);3.9419;4.3159;3.4726
;"Demon;Godfather;Klutz;PoppyGrower;Good;Good;Good;Good";10000;8;1;0.3509;0.00477;(0.34155, 0.36025);2.9484;3.45341;2.6754
;"Demon;Godfather;Klutz;Outsider;PoppyGrower;Good;Good;Good;Good";10000;9;1;0.4043;0.00491;(0.39468, 0.41392);3.1058;3.71308;2.69364
;"Demon;Godfather;DA;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.3638;0.00481;(0.35437, 0.37323);3.8331;4.75371;3.30666
;"Demon;Godfather;DA;Klutz;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.3204;0.00467;(0.31125, 0.32955);4.1748;5.11236;3.73278
;"Demon;Godfather;DA;Boomdandy;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3709;0.00483;(0.36143, 0.38037);3.999;4.33971;3.79812
