Roles,Games,# Players,# Minions,% Evil Win,STD-ERROR,ConInt95,Avg Days,Avg Days|Evil Win,Avg Days|Good Win;Roles;Games;# Players;# Minions;% Evil Win;STD-ERROR;ConInt95;Avg Days;Avg Days|Evil Win;Avg Days|Good Win
;"Demon;ScarletWoman;DA;Goblin;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.827;0.00378;(0.81959, 0.83441);4.2815;4.14148;4.95087
;"Demon;ScarletWoman;DA;Goblin;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.8582;0.00349;(0.85136, 0.86504);4.6702;4.5677;5.29055
;"Demon;ScarletWoman;DA;Goblin;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.6387;0.0048;(0.62928, 0.64812);4.4264;4.22984;4.77387
;"Demon;ScarletWoman;DA;Goblin;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5876;0.00492;(0.57795, 0.59725);4.8332;4.42291;5.4178
;"Demon;ScarletWoman;DA;Goblin;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.8582;0.00349;(0.85136, 0.86504);4.6702;4.5677;5.29055
;"Demon;ScarletWoman;DA;Goblin;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5876;0.00492;(0.57795, 0.59725);4.8332;4.42291;5.4178
;"Demon;ScarletWoman;DA;Goblin;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.8582;0.00349;(0.85136, 0.86504);4.6702;4.5677;5.29055
;"Demon;ScarletWoman;DA;Goblin;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5876;0.00492;(0.57795, 0.59725);4.8332;4.42291;5.4178
;"Demon;ScarletWoman;DA;Witch;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.7066;0.00455;(0.69768, 0.71552);5.3371;5.4332;5.10566
;"Demon;ScarletWoman;DA;Witch;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.7064;0.00455;(0.69747, 0.71533);5.8734;5.94875;5.6921
;"Demon;ScarletWoman;DA;Witch;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.4463;0.00497;(0.43656, 0.45604);5.3241;5.8259;4.91963
;"Demon;ScarletWoman;DA;Witch;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3816;0.00486;(0.37208, 0.39112);5.8671;6.40356;5.53606
;"Demon;ScarletWoman;DA;Witch;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.7064;0.00455;(0.69747, 0.71533);5.8734;5.94875;5.6921
;"Demon;ScarletWoman;DA;Witch;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3816;0.00486;(0.37208, 0.39112);5.8671;6.40356;5.53606
;"Demon;ScarletWoman;DA;Witch;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.7064;0.00455;(0.69747, 0.71533);5.8734;5.94875;5.6921
;"Demon;ScarletWoman;DA;Witch;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3816;0.00486;(0.37208, 0.39112);5.8671;6.40356;5.53606
;"Demon;ScarletWoman;Boomdandy;Good;Good;Good;Good;Good;Good;Good";10000;10;2;0.6106;0.00488;(0.60104, 0.62016);3.2604;3.32345;3.16153
;"Demon;ScarletWoman;Boomdandy;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.5478;0.00498;(0.53804, 0.55756);3.634;3.60515;3.66895
;"Demon;ScarletWoman;Boomdandy;Outsider;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.594;0.00491;(0.58437, 0.60363);3.9076;3.98199;3.79877
;"Demon;ScarletWoman;Boomdandy;Goblin;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.7383;0.0044;(0.72968, 0.74692);3.3274;3.24881;3.5491
;"Demon;ScarletWoman;Boomdandy;Goblin;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.7257;0.00446;(0.71696, 0.73444);3.62;3.49993;3.93766
;"Demon;ScarletWoman;Boomdandy;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;10;2;0.481;0.005;(0.47121, 0.49079);3.5471;3.49231;3.59788
;"Demon;ScarletWoman;Boomdandy;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.5098;0.005;(0.5, 0.5196);3.8142;3.8929;3.73235
;"Demon;ScarletWoman;Boomdandy;Outsider;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.4505;0.00498;(0.44075, 0.46025);4.2155;4.09034;4.31811
;"Demon;ScarletWoman;Boomdandy;Goblin;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.6439;0.00479;(0.63451, 0.65329);3.6684;3.45333;4.05729
;"Demon;ScarletWoman;Boomdandy;Goblin;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.6226;0.00485;(0.6131, 0.6321);3.9597;3.6142;4.52968
;"Demon;ScarletWoman;Boomdandy;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.5478;0.00498;(0.53804, 0.55756);3.634;3.60515;3.66895
;"Demon;ScarletWoman;Boomdandy;Klutz;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.594;0.00491;(0.58437, 0.60363);3.9076;3.98199;3.79877
;"Demon;ScarletWoman;Boomdandy;Goblin;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.7257;0.00446;(0.71696, 0.73444);3.62;3.49993;3.93766
;"Demon;ScarletWoman;Boomdandy;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.5098;0.005;(0.5, 0.5196);3.8142;3.8929;3.73235
;"Demon;ScarletWoman;Boomdandy;Klutz;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.4505;0.00498;(0.44075, 0.46025);4.2155;4.09034;4.31811
;"Demon;ScarletWoman;Boomdandy;Goblin;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.6226;0.00485;(0.6131, 0.6321);3.9597;3.6142;4.52968
;"Demon;ScarletWoman;Boomdandy;Saint;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.5478;0.00498;(0.53804, 0.55756);3.634;3.60515;3.66895
;"Demon;ScarletWoman;Boomdandy;Saint;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.594;0.00491;(0.58437, 0.60363);3.9076;3.98199;3.79877
;"Demon;ScarletWoman;Boomdandy;Goblin;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.7257;0.00446;(0.71696, 0.73444);3.62;3.49993;3.93766
;"Demon;ScarletWoman;Boomdandy;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.5098;0.005;(0.5, 0.5196);3.8142;3.8929;3.73235
